serve,stroker,from,to,balance,hand,index
,Viktor Axelsen,back-center,middle-center,offensive,forehand,20
,Lin Dan,middle-center,front-center,even,forehand,21
,Viktor Axelsen,front-center,front-right,offensive,backhand,22
,Lin Dan,front-right,back-right,even,backhand,23
,Viktor Axelsen,back-right,front-right,even,forehand,24
,Lin Dan,front-right,front-left,even,backhand,25
,Viktor Axelsen,front-left,back-right,offensive,backhand,26
,Lin Dan,back-right,back-left,defensive,backhand,27
,Viktor Axelsen,back-left,middle-left,offensive,forehand,28
,Lin Dan,middle-left,front-right,defensive,forehand,29
,Viktor Axelsen,front-right,back-right,defensive,forehand,30
,Lin Dan,back-right,back-left,defensive,forehand,31
,Viktor Axelsen,back-left,back-right,defensive,forehand,32
,Lin Dan,back-right,back-left,defensive,forehand,33
,Viktor Axelsen,back-left,middle-right,offensive,forehand,34
,Lin Dan,middle-right,front-right,defensive,forehand,35
1,Viktor Axelsen,front-left,back-right,even,backhand,1
,Lin Dan,back-center,front-center,even,forehand,2
,Viktor Axelsen,front-center,front-center,even,forehand,3
,Lin Dan,front-center,back-right,even,backhand,4
,Viktor Axelsen,back-right,back-left,defensive,forehand,5
,Lin Dan,back-left,front-right,defensive,forehand,6
,Viktor Axelsen,front-right,front-left,even,forehand,7
,Lin Dan,front-left,back-right,defensive,forehand,8
,Viktor Axelsen,back-right,front-right,defensive,forehand,9
,Lin Dan,front-right,back-left,offensive,backhand,10
,Viktor Axelsen,back-left,middle-left,defensive,forehand,11
1,Viktor Axelsen,front-right,back-right,even,backhand,1
,Lin Dan,back-right,middle-left,defensive,forehand,2
,Viktor Axelsen,middle-left,middle-left,offensive,backhand,3
,Lin Dan,middle-left,middle-center,offensive,forehand,4
,Viktor Axelsen,middle-center,middle-center,defensive,backhand,5
,Lin Dan,middle-center,middle-center,offensive,forehand,6
,Viktor Axelsen,middle-center,front-left,even,backhand,7
,Lin Dan,front-left,middle-right,offensive,forehand,8
,Viktor Axelsen,middle-right,middle-center,even,forehand,9
,Lin Dan,middle-center,front-left,offensive,backhand,10
,Viktor Axelsen,front-left,middle-right,even,backhand,11
,Lin Dan,middle-right,front-left,even,backhand,12
,Viktor Axelsen,front-left,front-right,defensive,backhand,13
,Lin Dan,front-right,middle-left,offensive,backhand,14
,Viktor Axelsen,middle-left,back-left,defensive,backhand,15
,Lin Dan,back-left,front-right,defensive,forehand,16
,Viktor Axelsen,front-right,back-right,offensive,forehand,17
,Lin Dan,back-right,front-left,defensive,backhand,18
,Viktor Axelsen,back-left,front-left,offensive,backhand,19
,Lin Dan,front-left,back-right,defensive,forehand,20
,Viktor Axelsen,back-right,back-right,defensive,forehand,21
,Lin Dan,back-right,front-right,even,forehand,22
,Viktor Axelsen,front-right,back-right,even,forehand,23
,Lin Dan,back-right,front-left,even,forehand,24
,Viktor Axelsen,front-left,front-center,even,backhand,25
,Lin Dan,front-center,front-right,even,forehand,26
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-left,even,backhand,2
,Lin Dan,back-left,middle-right,defensive,forehand,3
,Viktor Axelsen,middle-right,front-right,offensive,forehand,4
,Lin Dan,front-right,front-center,even,backhand,5
,Viktor Axelsen,front-center,front-left,even,forehand,6
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,front-right,even,backhand,2
,Viktor Axelsen,front-right,back-left,defensive,forehand,3
,Lin Dan,back-left,back-right,defensive,forehand,4
,Viktor Axelsen,back-right,middle-right,offensive,forehand,5
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-right,even,forehand,2
,Lin Dan,back-right,middle-left,even,forehand,3
,Viktor Axelsen,middle-left,front-right,even,backhand,4
,Lin Dan,front-right,front-center,even,backhand,5
1,Viktor Axelsen,front-right,front-center,even,backhand,1
,Lin Dan,front-center,front-center,even,backhand,2
,Viktor Axelsen,front-center,back-left,even,backhand,3
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,front-right,even,backhand,2
,Lin Dan,front-right,back-right,even,backhand,3
,Viktor Axelsen,back-right,front-right,defensive,forehand,4
,Lin Dan,front-right,front-center,even,backhand,5
,Viktor Axelsen,front-center,back-left,even,backhand,6
,Lin Dan,back-left,middle-left,offensive,forehand,7
,Viktor Axelsen,middle-left,front-right,defensive,backhand,8
,Lin Dan,front-right,front-center,offensive,backhand,9
,Viktor Axelsen,front-center,back-right,even,backhand,10
,Lin Dan,back-right,front-right,even,forehand,11
